festival_a,festival_b,shared_film_count
Sundance Film Festival,Guanajuato International Film Festival,11
Palm Springs International ShortFest,Festival du Nouveau Cinéma,11
Tallinn Black Nights Film Festival,BFI London Film Festival,11
Seattle International Film Festival,Clermont-Ferrand International Short Film Festival,11
Toronto International Film Festival,Festival du Nouveau Cinéma,11
FEST - New Directors / New Films,Palm Springs International ShortFest,11
Vancouver International Film Festival,Festival du Nouveau Cinéma,11
Tallinn Black Nights Film Festival,Calgary International Film Festival,11
Tallinn Black Nights Film Festival,Ottawa International Animation Festival,11
Encounters Short Film and Animation Festival,Festival Stop Motion Montreal,11
Internationale Kurzfilmtage Winterthur,Kurzfilm Festival Hamburg,11
FEST - New Directors / New Films,Tallinn Black Nights Film Festival,11
Palm Springs International ShortFest,Reykjavik International Film Festival,11
Encounters Short Film and Animation Festival,Thessaloniki Film Festival,11
Chicago International Film Festival,Tallinn Black Nights Film Festival,11
Guadalajara International Film Festival,Tallinn Black Nights Film Festival,11
Hong Kong International Film Festival,Annecy International Animation Festival,11
Internationale Kurzfilmtage Winterthur,Annecy International Animation Festival,11
Encounters Short Film and Animation Festival,Telluride Film Festival,11
Guanajuato International Film Festival,Kurzfilm Festival Hamburg,11
Guanajuato International Film Festival,IndieLisboa International Independent Film Festival,11
Chicago International Film Festival,Palm Springs International ShortFest,11
Palm Springs International ShortFest,DOK Leipzig,11
Ottawa International Animation Festival,Annecy International Animation Festival,11
Tallinn Black Nights Film Festival,Dokufest International Documentary and Short Film Festival,11
Bilbao International Festival of Documentary and Short Films,Festival du Nouveau Cinéma,11
IndieLisboa International Independent Film Festival,Festival du Nouveau Cinéma,11
Bilbao International Festival of Documentary and Short Films,Annecy International Animation Festival,11
Toronto International Film Festival,Melbourne International Film Festival,10
Tallinn Black Nights Film Festival,Kurzfilm Festival Hamburg,10
Tallinn Black Nights Film Festival,Sitges - Catalonian International Film Festival,10
Seattle International Film Festival,Toronto International Film Festival,10
Ann Arbor Film Festival,Annecy International Animation Festival,10
Cannes Film Festival,Toronto International Film Festival,10
Encounters Short Film and Animation Festival,Singapore International Film Festival,10
Ghent Film Festival,Palm Springs International ShortFest,10
Internationale Kurzfilmtage Winterthur,Vancouver International Film Festival,10
Internationale Kurzfilmtage Winterthur,Athens International Film and Video Festival,10
Encounters Short Film and Animation Festival,Maryland Film Festival,10
Milwaukee International Film Festival,Annecy International Animation Festival,10
Tallinn Black Nights Film Festival,Sarajevo Film Festival,10
Encounters Short Film and Animation Festival,Go Short - International Short Film Festival Nijmegen,10
Encounters Short Film and Animation Festival,Athens International Film Festival,10
Cannes Film Festival,Festival du Nouveau Cinéma,10
