festival_a,festival_b,shared_film_count
Tribeca Film Festival,Guanajuato International Film Festival,3
SXSW Film Festival,Milan Film Festival,3
Ghent Film Festival,Buenos Aires International Festival of Independent Cinema,3
Raindance Film Festival,Milwaukee International Film Festival,3
Krakow Film Festival,Cleveland International Film Festival,3
Dublin International Film Festival,Calgary International Film Festival,3
Tallinn Black Nights Film Festival,Frameline: San Francisco International LGBTQ Film Festival,3
OFF - Odense International Film Festival,Palm Springs International ShortFest,3
International Film Festival Rotterdam,Las Palmas Film Festival,3
Warsaw International Film Festival,Cannes Film Festival,3
AFI Fest,Landshut Short Film Festival,3
Krakow Film Festival,Moscow International Film Festival,3
Seville European Film Festival,Sarajevo Film Festival,3
Curtacinema - Rio de Janeiro International Short Film Festival,DOK Leipzig,3
Riga International Film Festival,San Sebastián International Film Festival,3
Tromsø International Film Festival,Leeds International Film Festival,3
Jerusalem Film Festival,Cannes Film Festival,3
BFI London Film Festival,San Sebastián International Film Festival,3
Athens International Film and Video Festival,European Film Awards,3
BFI London Film Festival,London Critics Circle Film Awards,3
Queer Lisboa,IndieLisboa International Independent Film Festival,3
New Directors New Films,AFI Fest,3
Slamdance Film Festival,Athens International Film and Video Festival,3
Toronto International Film Festival,Oberhausen International Short Film Festival,3
Toronto International Film Festival,International Documentary Film Festival Amsterdam,3
Curtacinema - Rio de Janeiro International Short Film Festival,Queer Lisboa,3
Göteborg Film Festival,Annecy International Animation Festival,3
São Paulo International Short Film Festival – Curta Kinoforum,Jerusalem Film Festival,3
Ann Arbor Film Festival,Viennale,3
Seattle Queer Film Festival,Inside Out Toronto LGBT Film Festival,3
Melbourne International Film Festival,San Sebastián International Film Festival,3
Athens International Film and Video Festival,Viennale,3
Hollyshorts Film Festival,Angers European First Film Festival,3
Message to Man International Film Festival,Leiden Shorts,3
Buenos Aires International Festival of Independent Cinema,Melbourne International Film Festival,3
Warsaw International Film Festival,New Horizons International Film Festival,3
Chéries-Chéris,Sarajevo Film Festival,3
Bilbao International Festival of Documentary and Short Films,Moscow International Film Festival,3
Sundance Film Festival,Festival du Nouveau Cinéma,3
FEST - New Directors / New Films,Philadelphia Film Festival,3
Clermont-Ferrand International Short Film Festival,Mill Valley Film Festival,3
True/False Film Festival,Melbourne International Film Festival,3
European Film Awards,Vilnius International Film Festival (Kino Pavasaris),3
SXSW Film Festival,Karlovy Vary International Film Festival,3
Krakow Film Festival,Guadalajara International Film Festival,3
Encounters Short Film and Animation Festival,DOC NYC,3
Zurich Film Festival,Encounters Short Film and Animation Festival,3
Clermont-Ferrand International Short Film Festival,Viennale,3
Philadelphia Film Festival,Stockholm International Film Festival,3
Queer Lisboa,Milwaukee International Film Festival,3
Sarajevo Film Festival,Kurzfilm Festival Hamburg,3
Uppsala Short Film Festival,Milwaukee International Film Festival,3
Palm Springs International ShortFest,Karlovy Vary International Film Festival,3
Fargo Film Festival,Athens International Film and Video Festival,3
Hong Kong International Film Festival,San Francisco International Film Festival,3
New Directors New Films,Bilbao International Festival of Documentary and Short Films,3
Clermont-Ferrand International Short Film Festival,Sophia Awards,3
Curtacinema - Rio de Janeiro International Short Film Festival,FEST - New Directors / New Films,3
Sundance Film Festival,Kurzfilm Festival Hamburg,3
Festival du Nouveau Cinéma,Stockholm International Film Festival,3
Chicago International Film Festival,Vancouver International Film Festival,3
SXSW Film Festival,Frameline: San Francisco International LGBTQ Film Festival,3
Seattle International Film Festival,FEST - New Directors / New Films,3
Montreal International Documentary Festival,Curtas Vila do Conde International Film Festival,3
SXSW Film Festival,Philadelphia Film Festival,3
True/False Film Festival,Go Short - International Short Film Festival Nijmegen,3
Seville European Film Festival,Melbourne International Film Festival,3
Warsaw International Film Festival,BFI London Film Festival,3
Palm Springs International ShortFest,Sydney Film Festival,3
Sundance Film Festival,Locarno International Film Festival,3
Buenos Aires International Festival of Independent Cinema,Beijing International Short Film Festival,3
Tallinn Black Nights Film Festival,César Awards,3
Message to Man International Film Festival,Vancouver International Film Festival,3
Montreal International Documentary Festival,IndieLisboa International Independent Film Festival,3
Chicago International Film Festival,Festival du Nouveau Cinéma,3
Clermont-Ferrand International Short Film Festival,Adelaide Film Festival,3
Palm Springs International ShortFest,Tromsø International Film Festival,3
Sundance Film Festival,Animafest Zagreb,3
Tallinn Black Nights Film Festival,Miami International Film Festival,3
Cannes Film Festival,San Francisco International Film Festival,3
Edinburgh International Film Festival,Bilbao International Festival of Documentary and Short Films,3
Seattle International Film Festival,Ann Arbor Film Festival,3
Riga International Film Festival,International Film Festival Rotterdam,3
Palm Springs International ShortFest,Seattle Queer Film Festival,3
Locarno International Film Festival,Las Palmas Film Festival,3
Cartagena Film Festival,Tallinn Black Nights Film Festival,3
Uppsala Short Film Festival,Leeds International Film Festival,3
Krakow Film Festival,Telluride Film Festival,3
International Documentary Film Festival Amsterdam,European Film Awards,3
Sundance Film Festival,Chicago International Film Festival,3
MIX Copenhagen LGBTQ+ Film Festival,Palm Springs International ShortFest,3
Bilbao International Festival of Documentary and Short Films,Milan Film Festival,3
Tallinn Black Nights Film Festival,Landshut Short Film Festival,3
FEST - New Directors / New Films,Leiden Shorts,3
Edinburgh International Film Festival,Hong Kong International Film Festival,3
Diagonale: Festival of Austrian Film,Vienna Shorts,3
Valladolid International Film Festival,Stockholm International Film Festival,3
Kurzfilm Festival Hamburg,BFI Flare: London LGBTIQ+ Film Festival,3
Curtacinema - Rio de Janeiro International Short Film Festival,Riga International Film Festival,3
Locarno International Film Festival,Dokufest International Documentary and Short Film Festival,3
Calgary International Film Festival,Landshut Short Film Festival,3
Canadian Screen Awards,Palm Springs International ShortFest,3
MIX Copenhagen LGBTQ+ Film Festival,Tallinn Black Nights Film Festival,3
IndieLisboa International Independent Film Festival,Cinéma du Réel,3
Curtacinema - Rio de Janeiro International Short Film Festival,Havana Film Festival,3
Guanajuato International Film Festival,Vienna Shorts,3
Uppsala Short Film Festival,European Film Awards,3
Locarno International Film Festival,Sarajevo Film Festival,3
Lima Alterna International Film Festival,Helsinki International Film Festival - Love & Anarchy,3
Mar del Plata International Film Festival,BFI London Film Festival,3
Ghent Film Festival,Las Palmas Film Festival,3
IndieLisboa International Independent Film Festival,European Film Awards,3
Riga International Film Festival,Annecy International Animation Festival,3
Valdivia International Film Festival,Melbourne International Film Festival,3
Encounters Short Film and Animation Festival,Kassel Documentary Film and Video Festival,3
Tampere Film Festival,Palm Springs International ShortFest,3
Encounters Short Film and Animation Festival,Olhar de Cinema - Curitiba International Film Festival,3
Sundance Film Festival,FEST - New Directors / New Films,3
Viennale,Leiden Shorts,3
SXSW Film Festival,Leeds International Film Festival,3
Ann Arbor Film Festival,Las Palmas Film Festival,3
Guanajuato International Film Festival,Landshut Short Film Festival,3
Clermont-Ferrand International Short Film Festival,Whistler Film Festival,3
Miami International Film Festival,Vancouver International Film Festival,3
Festival du Nouveau Cinéma,Filmfestival Max Ophüls Preis,3
London Critics Circle Film Awards,British Independent Film Awards,3
Vienna Shorts,Tirana International Film Festival,3
Sophia Awards,Annecy International Animation Festival,3
São Paulo International Short Film Festival – Curta Kinoforum,Leiden Shorts,3
New York Film Festival,Queer Lisboa,3
Camden International Film Festival,Guanajuato International Film Festival,3
Tallinn Black Nights Film Festival,Mumbai Film Festival,3
Whistler Film Festival,Melbourne International Film Festival,3
Ghent Film Festival,International Documentary Film Festival Amsterdam,3
Encounters Short Film and Animation Festival,Trieste Film Festival,3
Bilbao International Festival of Documentary and Short Films,San Sebastián International Film Festival,3
Melbourne International Film Festival,Milan Film Festival,3
25FPS Festival,Beijing International Short Film Festival,3
Vilnius International Film Festival (Kino Pavasaris),Cinéma du Réel,3
Chicago International Film Festival,Tribeca Film Festival,3
Toronto International Film Festival,Queer Lisboa,3
Seville European Film Festival,European Film Awards,3
Melbourne International Film Festival,Leeds International Film Festival,3
Hollyshorts Film Festival,Animafest Zagreb,3
DocumentaMadrid,Internationale Kurzfilmtage Winterthur,3
Ghent Film Festival,Athens International Film Festival,3
Ghent Film Festival,International Film Festival Rotterdam,3
SXSW Film Festival,Kurzfilm Festival Hamburg,3
Chicago International Film Festival,San Francisco International Film Festival,3
Oberhausen International Short Film Festival,Kurzfilm Festival Hamburg,3
Melbourne International Film Festival,Tromsø International Film Festival,3
New York Film Festival,Las Palmas Film Festival,3
Clermont-Ferrand International Short Film Festival,Camden International Film Festival,3
Milwaukee International Film Festival,Dokufest International Documentary and Short Film Festival,3
Buenos Aires International Festival of Independent Cinema,Reykjavik International Film Festival,3
Frameline: San Francisco International LGBTQ Film Festival,Melbourne International Film Festival,3
OFF - Odense International Film Festival,Toronto International Film Festival,3
Ghent Film Festival,True/False Film Festival,3
Ottawa International Animation Festival,Animafest Zagreb,3
Palm Springs International ShortFest,Hof International Film Festival,3
São Paulo International Short Film Festival – Curta Kinoforum,Milan Film Festival,3
Hollyshorts Film Festival,Uppsala Short Film Festival,3
Edinburgh International Film Festival,Chicago International Film Festival,3
Krakow Film Festival,Cannes Film Festival,3
Guanajuato International Film Festival,Animafest Zagreb,3
Bilbao International Festival of Documentary and Short Films,Riga International Film Festival,3
Buenos Aires International Festival of Independent Cinema,Hong Kong International Film Festival,3
Bilbao International Festival of Documentary and Short Films,Filmfestival Max Ophüls Preis,3
Sundance Film Festival,Krakow Film Festival,3
Experimental Film and Video Festival in Seoul,Las Palmas Film Festival,3
Maryland Film Festival,Annecy International Animation Festival,3
Oberhausen International Short Film Festival,International Film Festival Rotterdam,3
Raindance Film Festival,BFI London Film Festival,3
SXSW Film Festival,Curtas Vila do Conde International Film Festival,3
Cannes Film Festival,DOK Leipzig,3
São Paulo International Short Film Festival – Curta Kinoforum,Viennale,3
FEST - New Directors / New Films,Beijing International Short Film Festival,3
Athens International Film and Video Festival,Las Palmas Film Festival,3
Göteborg Film Festival,Tallinn Black Nights Film Festival,3
Montclair Film Festival,Milwaukee International Film Festival,3
César Awards,Annecy International Animation Festival,3
FEST - New Directors / New Films,Edinburgh International Film Festival,3
Sundance Film Festival,São Paulo International Short Film Festival – Curta Kinoforum,3
Sarajevo Film Festival,International Film Festival Rotterdam,3
Edinburgh International Film Festival,International Film Festival Rotterdam,3
Valdivia International Film Festival,Curtas Vila do Conde International Film Festival,3
Jerusalem Film Festival,FEST - New Directors / New Films,3
São Paulo International Short Film Festival – Curta Kinoforum,San Sebastián International Film Festival,3
Sarajevo Film Festival,Ottawa International Animation Festival,3
Valladolid International Film Festival,Cleveland International Film Festival,3
Krakow Film Festival,Ottawa International Animation Festival,3
Thessaloniki Documentary Festival,Guanajuato International Film Festival,3
FEST - New Directors / New Films,Côté Court,3
Sophia Awards,Curtas Vila do Conde International Film Festival,3
Edinburgh International Film Festival,Dokufest International Documentary and Short Film Festival,3
Montclair Film Festival,Dokufest International Documentary and Short Film Festival,3
Academy Awards,Athens International Film and Video Festival,3
Helsinki International Film Festival - Love & Anarchy,Stockholm International Film Festival,3
Guadalajara International Film Festival,Berlin International Film Festival,3
São Paulo International Short Film Festival – Curta Kinoforum,Sarasota Film Festival,3
Guadalajara International Film Festival,BFI London Film Festival,3
SXSW Film Festival,Vancouver International Film Festival,3
Solothurn Film Festival,Tirana International Film Festival,3
Hollyshorts Film Festival,Off-Courts Trouville,3
Experimental Film and Video Festival in Seoul,Dokufest International Documentary and Short Film Festival,3
Hong Kong International Film Festival,Dokufest International Documentary and Short Film Festival,3
Message to Man International Film Festival,European Film Awards,3
Valladolid International Film Festival,DOK Leipzig,3
25FPS Festival,IndieLisboa International Independent Film Festival,3
Uppsala Short Film Festival,Brussels Short Film Festival,3
Vancouver International Film Festival,Hawaii International Film Festival,3
Uppsala Short Film Festival,Leiden Shorts,3
Tribeca Film Festival,Milwaukee International Film Festival,3
Seattle International Film Festival,Ghent Film Festival,3
Curtacinema - Rio de Janeiro International Short Film Festival,Dublin International Film Festival,3
MIX Copenhagen LGBTQ+ Film Festival,Guanajuato International Film Festival,3
Internationale Kurzfilmtage Winterthur,Las Palmas Film Festival,3
Krakow Film Festival,AFI Fest,3
Oberhausen International Short Film Festival,Annecy International Animation Festival,3
Krakow Film Festival,Filmfestival Max Ophüls Preis,3
New York Film Festival,Bilbao International Festival of Documentary and Short Films,3
European Film Awards,Viennale,3
Riga International Film Festival,Vilnius International Film Festival (Kino Pavasaris),3
Beijing International Short Film Festival,Festival du Nouveau Cinéma,3
Locarno International Film Festival,European Film Awards,3
Bilbao International Festival of Documentary and Short Films,San Francisco International Film Festival,3
Hollyshorts Film Festival,Internationale Kurzfilmtage Winterthur,3
Camden International Film Festival,Las Palmas Film Festival,3
Sarajevo Film Festival,Milwaukee International Film Festival,3
Buenos Aires International Festival of Independent Cinema,Internationale Kurzfilmtage Winterthur,3
Sarajevo Film Festival,San Sebastián International Film Festival,3
Hollyshorts Film Festival,Leeds International Film Festival,3
Tallinn Black Nights Film Festival,Tirana International Film Festival,3
Animafest Zagreb,Vilnius International Film Festival (Kino Pavasaris),3
Clermont-Ferrand International Short Film Festival,Festival Stop Motion Montreal,3
Cleveland International Film Festival,Annecy International Animation Festival,3
Internationale Kurzfilmtage Winterthur,Dublin International Film Festival,3
Valladolid International Film Festival,Riga International Film Festival,3
Karlovy Vary International Film Festival,Melbourne International Film Festival,3
Canadian Screen Awards,Tallinn Black Nights Film Festival,3
Palm Springs International ShortFest,Santa Barbara International Film Festival,3
DocumentaMadrid,Viennale,3
Cannes Film Festival,Telluride Film Festival,3
SXSW Film Festival,Miami International Film Festival,3
Warsaw International Film Festival,Telluride Film Festival,3
BFI London Film Festival,Gijón International Film Festival,3
Toronto International Film Festival,Frameline: San Francisco International LGBTQ Film Festival,3
Fantasia Film Festival,Annecy International Animation Festival,3
Ghent Film Festival,Mar del Plata International Film Festival,3
Seville European Film Festival,Festival du Nouveau Cinéma,3
Ann Arbor Film Festival,Reykjavik International Film Festival,3
Seattle International Film Festival,Leeds International Film Festival,3
Clermont-Ferrand International Short Film Festival,Tampere Film Festival,3
San Francisco International Film Festival,Mill Valley Film Festival,3
Singapore International Film Festival,Athens International Film and Video Festival,3
Seattle International Film Festival,Vilnius International Film Festival (Kino Pavasaris),3
Singapore International Film Festival,Guanajuato International Film Festival,3
Berlin International Film Festival,Oberhausen International Short Film Festival,3
Ghent Film Festival,Uppsala Short Film Festival,3
Côté Court,IndieLisboa International Independent Film Festival,3
Go Short - International Short Film Festival Nijmegen,Guanajuato International Film Festival,3
Sundance Film Festival,Ann Arbor Film Festival,3
Locarno International Film Festival,Riga International Film Festival,3
Toronto International Film Festival,IndieLisboa International Independent Film Festival,3
AFI Fest,Kurzfilm Festival Hamburg,3
Brooklyn Film Festival,DOK Leipzig,3
Berlin International Film Festival,Fantasia Film Festival,3
Palm Springs International ShortFest,British Independent Film Awards,3
Clermont-Ferrand International Short Film Festival,Porto/Post/Doc,3
Tribeca Film Festival,Fantasia Film Festival,3
Diagonale: Festival of Austrian Film,IndieLisboa International Independent Film Festival,3
RiverRun International Film Festival,Athens International Film and Video Festival,3
Vancouver International Film Festival,Cinéma du Réel,3
Telluride Film Festival,Curtas Vila do Conde International Film Festival,3
AFI Fest,Viennale,3
Vancouver International Film Festival,Tirana International Film Festival,3
Sydney Film Festival,Melbourne International Film Festival,3
Guadalajara International Film Festival,Curtas Vila do Conde International Film Festival,3
SXSW Film Festival,Dokufest International Documentary and Short Film Festival,3
FEST - New Directors / New Films,Durban International Film Festival,3
Venice Film Festival,Festival du Nouveau Cinéma,3
Lima Alterna International Film Festival,Athens International Film and Video Festival,3
Uppsala Short Film Festival,BFI London Film Festival,3
Short Shorts Film Festival & Asia,Encounters Short Film and Animation Festival,3
European Film Awards,BFI London Film Festival,3
Uppsala Short Film Festival,Reykjavik International Film Festival,3
Montreal International Documentary Festival,International Film Festival Rotterdam,3
25FPS Festival,DOK Leipzig,3
Seville European Film Festival,Bilbao International Festival of Documentary and Short Films,3
Encounters Short Film and Animation Festival,Aesthetica Short Film Festival,3
San Francisco International Film Festival,Festival du Nouveau Cinéma,3
Guanajuato International Film Festival,Inside Out Toronto LGBT Film Festival,3
Guadalajara International Film Festival,Sophia Awards,3
Ghent Film Festival,Krakow Film Festival,3
Montreal International Documentary Festival,Las Palmas Film Festival,3
Outfest: Los Angeles Gay & Lesbian Film Festival,Melbourne International Film Festival,3
Cannes Film Festival,Frameline: San Francisco International LGBTQ Film Festival,3
Palm Springs International ShortFest,Cairo International Film Festival,3
Krakow Film Festival,Vilnius International Film Festival (Kino Pavasaris),3
AFI Fest,European Film Awards,3
Internationale Kurzfilmtage Winterthur,Durban International Film Festival,3
São Paulo International Short Film Festival – Curta Kinoforum,Vienna Shorts,3
Clermont-Ferrand International Short Film Festival,Stockholm International Film Festival,3
Seville European Film Festival,IndieLisboa International Independent Film Festival,3
Tallinn Black Nights Film Festival,Mill Valley Film Festival,3
Uppsala Short Film Festival,Kurzfilm Festival Hamburg,3
Solothurn Film Festival,Dokufest International Documentary and Short Film Festival,3
Cinequest San Jose Film Festival,Tallinn Black Nights Film Festival,3
Palm Springs International ShortFest,Mill Valley Film Festival,3
Ghent Film Festival,Seville European Film Festival,3
BFI London Film Festival,Milan Film Festival,3
New York Film Festival,Gijón International Film Festival,3
AFI Fest,Mill Valley Film Festival,3
Guanajuato International Film Festival,Miami International Film Festival,3
Chéries-Chéris,Chicago International Film Festival,3
Reykjavik International Film Festival,Vancouver International Film Festival,3
Hollyshorts Film Festival,Cannes Film Festival,3
Melbourne International Film Festival,São Paulo International Film Festival,3
Chicago International Film Festival,Viennale,3
Krakow Film Festival,Raindance Film Festival,3
Valdivia International Film Festival,Vancouver International Film Festival,3
Reykjavik International Film Festival,Shorts México,3
Palm Springs International ShortFest,Go Short - International Short Film Festival Nijmegen,3
Reykjavik International Film Festival,BFI London Film Festival,3
Locarno International Film Festival,Hong Kong International Film Festival,3
Internationale Kurzfilmtage Winterthur,Cinéma du Réel,3
Seattle International Film Festival,New Zealand International Film Festival,3
São Paulo International Short Film Festival – Curta Kinoforum,Diagonale: Festival of Austrian Film,3
Florida Film Festival,Animafest Zagreb,3
São Paulo International Short Film Festival – Curta Kinoforum,Uppsala Short Film Festival,3
Durban International Film Festival,Dokufest International Documentary and Short Film Festival,3
Singapore International Film Festival,International Film Festival Rotterdam,3
Sundance Film Festival,Curtas Vila do Conde International Film Festival,3
Outfest: Los Angeles Gay & Lesbian Film Festival,Curtas Vila do Conde International Film Festival,3
Milwaukee International Film Festival,Cleveland International Film Festival,3
Maryland Film Festival,Fantasia Film Festival,3
OFF - Odense International Film Festival,Athens International Film and Video Festival,3
Philadelphia Film Festival,Milwaukee International Film Festival,3
Locarno International Film Festival,Kurzfilm Festival Hamburg,3
Dokufest International Documentary and Short Film Festival,Tirana International Film Festival,3
DOK Leipzig,Milan Film Festival,2
Telluride Film Festival,DOK Leipzig,2
Off-Courts Trouville,DOK Leipzig,2
25FPS Festival,Leiden Shorts,2
Landshut Short Film Festival,Annecy International Animation Festival,2
Tampere Film Festival,Tallinn Black Nights Film Festival,2
Singapore International Film Festival,Pink Screens,2
Mar del Plata International Film Festival,Gijón International Film Festival,2
SXSW Film Festival,Galway Film Fleadh,2
Ottawa International Animation Festival,Beijing International Short Film Festival,2
DOC NYC,Tallinn Black Nights Film Festival,2
SXSW Film Festival,Neuchâtel International Fantastic Film Festival,2
Warsaw International Film Festival,Viennale,2
Seattle International Film Festival,Mar del Plata International Film Festival,2
Sundance Film Festival,Sitges - Catalonian International Film Festival,2
Helsinki International Film Festival - Love & Anarchy,Valdivia International Film Festival,2
Warsaw International Film Festival,Oberhausen International Short Film Festival,2
New Directors New Films,Hong Kong International Film Festival,2
Helsinki International Film Festival - Love & Anarchy,Brussels Short Film Festival,2
Thessaloniki Film Festival,LesGaiCineMad,2
Huesca International Film Festival,Durban International Film Festival,2
Krakow Film Festival,César Awards,2
New York Film Festival,Golden Horse Film Festival,2
Ghent Film Festival,Sitges - Catalonian International Film Festival,2
QCinema – Quezon City International Film Festival,Tirana International Film Festival,2
Cairo International Film Festival,Melbourne International Film Festival,2
Durban International Film Festival,Landshut Short Film Festival,2
Toronto International Film Festival,Milan Film Festival,2
European Film Awards,Tirana International Film Festival,2
São Paulo International Short Film Festival – Curta Kinoforum,Outfest: Los Angeles Gay & Lesbian Film Festival,2
Encounters Short Film and Animation Festival,Clermont-Ferrand Short Film Market Picks,2
Rome Independent Film Festival,Festival du Nouveau Cinéma,2
Hollyshorts Film Festival,Rhode Island International Film Festival,2
Seattle International Film Festival,Viennale,2
FEST - New Directors / New Films,Raindance Film Festival,2
European Film Awards,Gijón International Film Festival,2
AFI Fest,Locarno International Film Festival,2
Whistler Film Festival,Kurzfilm Festival Hamburg,2
Camden International Film Festival,Cinéma du Réel,2
Chéries-Chéris,Inside Out Toronto LGBT Film Festival,2
Canadian Screen Awards,Guanajuato International Film Festival,2
Encounters Short Film and Animation Festival,Busan International Short Film Festival,2
Athens International Film Festival,Melbourne International Film Festival,2
Helsinki International Film Festival - Love & Anarchy,Mardi Gras Film Festival,2
New Directors New Films,Buenos Aires International Festival of Independent Cinema,2
Uppsala Short Film Festival,San Sebastián International Film Festival,2
Tallinn Black Nights Film Festival,Tribeca Film Festival,2
Tallinn Black Nights Film Festival,Gaudí Awards,2
Sundance Film Festival,Inside Out Toronto LGBT Film Festival,2
New Directors New Films,Riga International Film Festival,2
Curtacinema - Rio de Janeiro International Short Film Festival,Vienna Shorts,2
FEST - New Directors / New Films,Valladolid International Film Festival,2
Hollyshorts Film Festival,Tromsø International Film Festival,2
Camden International Film Festival,Internationale Kurzfilmtage Winterthur,2
SXSW Film Festival,Tromsø International Film Festival,2
Camden International Film Festival,Singapore International Film Festival,2
Porto/Post/Doc,Annecy International Animation Festival,2
Krakow Film Festival,New Horizons International Film Festival,2
Sarajevo Film Festival,Tirana International Film Festival,2
Calgary International Film Festival,Cleveland International Film Festival,2
FEST - New Directors / New Films,Buenos Aires International Festival of Independent Cinema,2
True/False Film Festival,Leiden Shorts,2
Helsinki International Film Festival - Love & Anarchy,Mix Brasil,2
Havana Film Festival,Festival du Nouveau Cinéma,2
Mardi Gras Film Festival,Annecy International Animation Festival,2
Whistler Film Festival,OFF - Odense International Film Festival,2
Sundance Film Festival,Warsaw International Film Festival,2
Sydney Film Festival,Thessaloniki Film Festival,2
Chicago Underground Film Festival,Annecy International Animation Festival,2
DOC NYC,European Film Awards,2
Whistler Film Festival,Festival du Nouveau Cinéma,2
São Paulo International Film Festival,Mill Valley Film Festival,2
Edinburgh International Film Festival,Raindance Film Festival,2
Cinéma du Réel,Tirana International Film Festival,2
Experimental Film and Video Festival in Seoul,Festival du Nouveau Cinéma,2
Jerusalem Film Festival,Milwaukee International Film Festival,2
Seattle International Film Festival,Thessaloniki Film Festival,2
Athens International Film and Video Festival,Frameline: San Francisco International LGBTQ Film Festival,2
Chéries-Chéris,Festival du Nouveau Cinéma,2
Gijón International Film Festival,Curtas Vila do Conde International Film Festival,2
Chicago International Film Festival,Calgary International Film Festival,2
Palm Springs International ShortFest,Hawaii International Film Festival,2
Cartagena Film Festival,Uppsala Short Film Festival,2
Queer Lisboa,Rio de Janeiro International Film Festival,2
Brooklyn Film Festival,Athens International Film and Video Festival,2
Guanajuato International Film Festival,Florida Film Festival,2
San Sebastián International Film Festival,Milan Film Festival,2
Queer Lisboa,Kurzfilm Festival Hamburg,2
Palm Springs International ShortFest,Havana Film Festival,2
Beijing International Short Film Festival,Tirana International Film Festival,2
Sundance Film Festival,International Documentary Film Festival Amsterdam,2
AFI Fest,Mar del Plata International Film Festival,2
San Francisco International Film Festival,Leeds International Film Festival,2
Clermont-Ferrand International Short Film Festival,Montreal International Documentary Festival,2
Encounters Short Film and Animation Festival,Festival international du film indépendant de Bordeaux,2
Guanajuato International Film Festival,Frameline: San Francisco International LGBTQ Film Festival,2
Sundance Film Festival,Stockholm International Film Festival,2
Calgary International Film Festival,Kurzfilm Festival Hamburg,2
Bogoshorts - Bogota Short Film Festival,Curtas Vila do Conde International Film Festival,2
Warsaw International Film Festival,Tribeca Film Festival,2
Philadelphia Film Festival,Landshut Short Film Festival,2
Valdivia International Film Festival,BFI London Film Festival,2
DOK Leipzig,Fantasia Film Festival,2
Cannes Film Festival,Ann Arbor Film Festival,2
Seattle International Film Festival,Vienna Shorts,2
Buenos Aires International Festival of Independent Cinema,Toronto International Film Festival,2
Ghent Film Festival,Golden Horse Film Festival,2
Kurzfilm Festival Hamburg,Bergen International Film Festival,2
Solothurn Film Festival,FEST - New Directors / New Films,2
Athens International Film and Video Festival,Rome Independent Film Festival,2
Frameline: San Francisco International LGBTQ Film Festival,NewFest - The New York LGBTQ+ Film Festival,2
Internationale Kurzfilmtage Winterthur,Sarasota Film Festival,2
Helsinki International Film Festival - Love & Anarchy,Norwegian International Film Festival,2
Camden International Film Festival,Experimental Film and Video Festival in Seoul,2
Melbourne International Film Festival,Tirana International Film Festival,2
Clermont-Ferrand International Short Film Festival,Tribeca Film Festival,2
Rio de Janeiro International Film Festival,Short Waves Festival,2
Shorts México,IndieLisboa International Independent Film Festival,2
Santa Barbara International Film Festival,BAFTA Awards,2
Reykjavik International Film Festival,Leiden Shorts,2
Valdivia International Film Festival,Leiden Shorts,2
Whistler Film Festival,Curtas Vila do Conde International Film Festival,2
Hong Kong International Film Festival,Sophia Awards,2
Pesaro International Festival of New Cinema,Ann Arbor Film Festival,2
Porto/Post/Doc,Go Short - International Short Film Festival Nijmegen,2
Ghent Film Festival,Guadalajara International Film Festival,2
Cleveland International Film Festival,Athens International Film Festival,2
Tampere Film Festival,Sarajevo Film Festival,2
AFI Fest,Tirana International Film Festival,2
Off-Courts Trouville,Internationale Kurzfilmtage Winterthur,2
Experimental Film and Video Festival in Seoul,Guanajuato International Film Festival,2
Cannes Film Festival,Tromsø International Film Festival,2
AFI Fest,Sitges - Catalonian International Film Festival,2
Maryland Film Festival,Guanajuato International Film Festival,2
Bilbao International Festival of Documentary and Short Films,Beijing International Short Film Festival,2
Oberhausen International Short Film Festival,Gijón International Film Festival,2
Seville European Film Festival,Hong Kong International Film Festival,2
Chicago International Film Festival,Singapore International Film Festival,2
BAFTA Awards (Scotland),Encounters Short Film and Animation Festival,2
Vancouver International Film Festival,Milan Film Festival,2
Toronto International Film Festival,Philadelphia Film Festival,2
Clermont-Ferrand International Short Film Festival,Busan International Short Film Festival,2
FIRST International Film Festival Xining,Fantasia Film Festival,2
Athens International Film and Video Festival,Thessaloniki Film Festival,2
Sundance Film Festival,Fantasia Film Festival,2
Raindance Film Festival,IndieLisboa International Independent Film Festival,2
Tallinn Black Nights Film Festival,Festival Stop Motion Montreal,2
Brussels Short Film Festival,Leeds International Film Festival,2
Golden Horse Film Festival,Stockholm International Film Festival,2
Bilbao International Festival of Documentary and Short Films,BFI Flare: London LGBTIQ+ Film Festival,2
São Paulo International Short Film Festival – Curta Kinoforum,Ann Arbor Film Festival,2
Palm Springs International ShortFest,Adelaide Film Festival,2
Telluride Film Festival,European Film Awards,2
Athens International Film and Video Festival,Tirana International Film Festival,2
Chicago International Film Festival,Golden Horse Film Festival,2
Florida Film Festival,BFI London Film Festival,2
Pesaro International Festival of New Cinema,Tirana International Film Festival,2
Cannes Film Festival,Kurzfilm Festival Hamburg,2
International Documentary Film Festival Amsterdam,Hot Docs Canadian International Documentary Festival,2
Edinburgh International Film Festival,BAFTA Awards,2
Sundance Film Festival,Guadalajara International Film Festival,2
Message to Man International Film Festival,Annecy International Animation Festival,2
Berlin International Film Festival,Valdivia International Film Festival,2
Helsinki International Film Festival - Love & Anarchy,Bergen International Film Festival,2
Krakow Film Festival,Venice Film Festival,2
Chicago International Film Festival,Sophia Awards,2
Locarno International Film Festival,Vienna Shorts,2
Bilbao International Festival of Documentary and Short Films,Dublin International Film Festival,2
